year;0;1;2;3;4;5;6;7;8;9;10;11
57;295,7;294,9;294;293,2;292,4;291,5;290,7;289,9;289;288,2;287,4;286,5
58;285,7;284,9;284,1;283,3;282,5;281,7;280,9;280;279,2;278,4;277,6;276,8
59;276;275,2;274,4;273,6;272,8;272;271,2;270,4;269,6;268,8;268;267,2
60;266,4;265,6;264,8;264,1;263,3;262,5;261,7;260,9;260,1;259,4;258,6;257,8
61;257;256,2;255,5;254,7;253,9;253,1;252,4;251,6;250,8;250;249,3;248,5
62;247,7;246,9;246,2;245,4;244,7;243,9;243,2;242,4;241,6;240,9;240,1;239,4
63;238,6;237,9;237,1;236,4;235,6;234,9;234,1;233,4;232,6;231,9;231,1;230,4
64;229,6;228,9;228,1;227,4;226,7;225,9;225,2;224,5;223,7;223;222,3;221,5
65;220,8;220,1;219,4;218,7;217,9;217,2;216,5;215,8;215,1;214,4;213,6;212,9
66;212,2;211,5;210,8;210,1;209,3;208,6;207,9;207,2;206,5;205,8;205;204,3
67;203,6;202,9;202,2;201,6;200,9;200,2;199,5;198,8;198,1;197,5;196,8;196,1
68;195,4;194,7;194;193,3;192,6;191,9;191,3;190,6;189,9;189,2;188,5;187,8
69;187,1;186,4;185,8;185,1;184,4;183,7;183,1;182,4;181,7;181;180,4;179,7
70;179;178,3;177,7;177;176,3;175,7;175;174,3;173,7;173;172,3;171,7
71;171;170,4;169,7;169,1;168,4;167,8;167,1;166,5;165,8;165,2;164,5;163,9
72;163,2;162,6;161,9;161,3;160,6;160;159,4;158,7;158,1;157,4;156,8;156,1
73;155,5;154,9;154,3;153,6;153;152,4;151,8;151,1;150,5;149,9;149,3;148,6
74;148;147,4;146,8;146,1;145,5;144,9;144,3;143,6;143;142,4;141,8;141,1
75;140,5;139,9;139,3;138,7;138,1;137,5;136,9;136,2;135,6;135;134,4;133,8
76;133,2;132,6;132;131,4;130,8;130,2;129,7;129,1;128,5;127,9;127,3;126,7
77;126,1;125,5;125;124,4;123,8;123,2;122,7;122,1;121,5;120,9;120,4;119,8
78;119,2;118,6;118,1;117,5;116,9;116,3;115,8;115,2;114,6;114;113,5;112,9
79;112,3;111,8;111,2;110,7;110,1;109,6;109;108,5;107,9;107,4;106,8;106,3
80;105,7;105,2;104,6;104,1;103,5;103;102,5;101,9;101,4;100,8;100,3;99,7
81;99,2;98,7;98,2;97,7;97,1;96,6;96,1;95,6;95,1;94,6;94;93,5
82;93;92,5;92;91,5;91;90,5;90;89,5;89;88,5;88;87,5
83;87;86,5;86;85,6;85,1;84,6;84,1;83,6;83,1;82,7;82,2;81,7
84;81,2;80,8;80,3;79,9;79,4;79;78,5;78,1;77,6;77,2;76,7;76,3
85;75,8;75,4;75;74,6;74,1;73,7;73,3;72,9;72,5;72,1;71,6;71,2
86;70,8;70,4;70;69,6;69,2;68,8;68,5;68,1;67,7;67,3;66,9;66,5
87;66,1;65,7;65,4;65;64,6;64,3;63,9;63,5;63,2;62,8;62,4;62,1
88;61,7;61,4;61;60,7;60,3;60;59,7;59,3;59;58,6;58,3;57,9
89;57,6;57,3;57;56,7;56,3;56;55,7;55,4;55,1;54,8;54,4;54,1
90;53,8;53,5;53,2;52,9;52,6;52,3;52,1;51,8;51,5;51,2;50,9;50,6
